"Question","Answer"
"Which of the below agreements establishes a “conditional agreement” between a client and a vendor?","A memorandum of agreement (MOA) establishes a conditional legal understanding between a client and a vendor. It outlines the terms and conditions under which both parties agree to collaborate on a project or meet a specific objective. Unlike a memorandum of understanding (MOU), which is often non-binding, an MOA is typically more formal and can have legal implications."
"Which document needs to be signed by a Managed Service Provider to protect the clients confidential information?","An NDA (non-disclosure agreement) is a legally binding agreement that ensures both the client and vendor agree not to disclose confidential information to third parties. This agreement is crucial when sensitive data is involved and ensures that proprietary information remains secure during the course of a business relationship."
"Which of the following is required to be protected by redundant power?","HVAC systems in data centers must be protected by redundant power to ensure they continue functioning even during a power failure. If HVAC systems fail, the data center could overheat, leading to potential damage to servers and other equipment."
"Purchasing server instances and configuring them to run software is an example of which cloud deployment model?","This is an example of IaaS (Infrastructure as a Service), where server instances are provided by a cloud service provider. The client installs their own operating system and software, managing the infrastructure remotely while the cloud provider maintains the underlying physical resources."
"As per NIST SP 800-145, which one is not a cloud characteristic?","Dedicated resource pool is not a characteristic of cloud computing. Cloud environments provide shared resources, allowing multiple users to access computing power, storage, and networks as needed. Cloud services are designed to be ubiquitous, convenient, and on-demand, but they typically do not involve dedicated resources for individual users."
"Which feature provides redundancy in the cloud model?","Different availability zones provide redundancy in cloud environments. Cloud service providers maintain multiple availability zones so that if one zone experiences an outage, workloads can be shifted to another zone without affecting service continuity."
"Which of the below could be a disadvantage of working with a managed cloud service provider (MCSP)?","One disadvantage of working with an MCSP is the lack of transparency and potential security risks. MCSPs use a multi-tenant model, which means that customer data is stored together. If one customer’s security is compromised, it could affect others. It's important to know the security protocols and certifications of your MCSP to ensure they meet your requirements."
"Which term in an SLA is not related to cloud security?","Data portability is related to the ability to move data between cloud services (e.g., migrating data from AWS to Google Cloud) and is not specifically related to security. In contrast, data location, data access, and the change management process are all related to ensuring the security of the cloud environment."
"Which of the below definitions represents the DMZ (Demilitarized Zone) in IT Security?","A DMZ is a network area that is designed to be accessed by outside visitors but is still isolated from the private network of the organization. The DMZ often hosts public-facing servers, such as web, email, or file servers, allowing external access without exposing the internal network."
"Which statement about defense in depth is correct?","Defense in depth is a layered approach to security, where multiple security controls (such as physical, administrative, and technological controls) are used to protect an organization's assets. This strategy ensures that if one layer of security fails, additional layers are in place to mitigate the risk."
